Restaurant ID,Restaurant First Active Date,GMV (Gross Merchandise Value) (EUR),Total Sales Before Discount (EUR),Commission (EUR),Bolt Investments to User Discounts (EUR),Restaurant Investments to User Discount (EUR),Net Rate (%),Requested Orders,Total Number of Delivered Orders,Monthly Active Users,New Users,Menu Conversion (%),Availability Rate (%),Menu Photo Coverage (%),restaurant Average Rates,Restaurant Total Rates,Restaurant Avergae Cooking Time
55434,44959,15.186827,14.21095,2.08996876,0,4.2637,-0.01309983,8,1,1,0,0.01188455,0.980791509,0.687612236,3,3,25
55437,44959,0,0,0,0,0,,7,0,0,0,0.012477718,0.878147364,0.722935796,,0,
59680,44952,6.897108,6.368358,1.59262043,0,0,0.00554187,1,1,1,0,0.020408163,0.89420408,0.137931034,5,5,21
58930,44944,3403.10333,3200.895688,576.1612219,0,1280.3586,0.08331264,158,144,124,2,0.106769018,0.799969256,0.323529422,4,48,27.77777863
55757,44931,51.029028,45.641344,13.69240334,0,0,0.19144177,5,3,2,0,0.08510638,0.933402777,0.801886797,1,1,1
60075,44924,1333.981423,1273.744041,229.2763465,0,544.1455,0.09494181,68,66,61,1,0.016860897,0.994164228,0.853080571,3.428571463,24,30.48484802
58929,44922,8467.661929,7986.46326,1388.786775,0,3195.2348,0.07971844,419,381,328,5,0.163947478,0.806095541,0.323529422,4.181818008,184,27.16535378
59816,44918,942.903191,904.661789,146.5535246,0,361.8647,0.0940329,27,26,25,2,0.013248282,0.985304534,0.715447128,4.333333492,13,20.73077011
59679,44916,201.519486,181.347147,45.33677567,13.04807002,0,0.01195285,13,13,11,1,0.110169493,0.919292748,0,4.5,18,31.69230843
59688,44916,1109.571518,1050.10811,286.2352192,121.0611851,37.1098,0.07253903,54,53,48,2,0.059819411,0.982923746,1,3.333333254,10,25.83018875
58954,44911,27.45568,26.935757,4.20114287,0.51992275,10.7743,0.08472127,1,1,1,0,0.001798561,0.988802135,0.90625,,0,47
58958,44911,88.904033,83.662214,13.05121569,0.52525772,33.4657,0.05589423,4,4,4,0,0.00856531,0.990301311,0.90625,,0,41
58952,44911,16.000362,12.702061,1.98152147,0.52713552,5.0808,-0.15202435,1,1,1,0,0.001776199,1,0.90625,,0,28
58959,44911,210.873854,207.64214,32.39292746,1.05291981,83.0577,0.11599149,7,5,5,0,0.012019231,0.994982362,0.90625,5,10,44
59306,44909,2152.570582,1996.589717,485.8685343,74.71393592,0,0.08506295,167,167,120,9,0.330039531,0.971211255,0.699999988,4.454545498,49,15.43712616
58933,44908,2388.101057,2262.359269,479.3448584,192.6039789,0,0.04726191,93,90,75,9,0.067399271,0.873615801,0.966784775,3.956521749,91,30.74444389
59193,44908,948.130215,887.386222,164.1691713,12.60525993,0,-0.01638206,78,77,64,5,0.177272722,1,0.971666694,3.666666746,33,17.7142849
59169,44908,609.711108,575.64294,106.5027385,16.62206435,0,-0.00166364,42,40,37,4,0.135922328,1,0.971394241,4,12,39.95000076
